,Juego,Viewer Hours
0,Just Chatting,"236,892,841"
1,League of Legends,"103,696,990"
2,Grand Theft Auto V,"101,512,877"
3,VALORANT,"93,217,700"
4,Counter-Strike: Global Offensive,"76,371,759"
5,Minecraft,"72,145,388"
6,Dota 2,"59,235,235"
7,Fortnite,"30,937,451"
8,Apex Legends,"30,483,417"
9,Rust,"29,722,311"
10,World of Warcraft,"28,617,899"
11,FIFA 23,"20,372,359"
12,Call of Duty: Warzone,"18,498,783"
13,Virtual Casino,"18,424,868"
14,Sports,"18,132,248"
15,Path of Exile,"15,966,188"
16,Overwatch 2,"15,056,582"
17,Honkai: Star Rail,"14,434,952"
18,Dead by Daylight,"14,107,207"
19,Call of Duty: Modern Warfare II,"13,996,985"
20,Slots,"13,991,766"
21,Teamfight Tactics,"13,572,043"
22,Hearthstone,"12,974,674"
23,Music,"12,855,274"
24,Tom Clancy's Rainbow Six Siege,"11,407,997"
25,Star Wars Jedi: Survivor,"11,347,886"
26,Resident Evil 4,"11,165,490"
27,Escape from Tarkov,"10,277,524"
28,Dead Island 2,"9,483,582"
29,ASMR,"9,292,922"
30,Albion Online,"8,796,822"
31,Genshin Impact,"8,461,942"
32,Chess,"8,375,191"
33,Special Events,"8,372,253"
34,World of Tanks,"7,773,081"
35,Rocket League,"7,751,325"
36,Lost Ark,"7,304,856"
37,The Legend of Zelda: Breath of the Wild,"6,993,451"
38,XDefiant,"6,822,369"
39,Art,"6,631,321"
40,PUBG: BATTLEGROUNDS,"6,521,617"
41,ELDEN RING,"6,440,446"
42,Destiny 2,"6,278,863"
43,Travel & Outdoors,"5,679,983"
44,DayZ,"5,583,337"
45,Old School RuneScape,"5,521,382"
46,Poker,"5,504,087"
47,Retro,"4,823,945"
48,Talk Shows & Podcasts,"4,693,597"
49,Dark and Darker,"4,576,232"
